Frequency(Hz),Real,Imaginary
1.000000e+00,3.241659e-01,-4.015464e-03
1.010824e+00,3.264384e-01,-2.124039e-03
1.021764e+00,3.279891e-01,-1.089331e-02
1.032824e+00,3.288398e-01,-7.782095e-03
1.044003e+00,3.311681e-01,-6.076233e-03
1.055302e+00,3.344385e-01,-6.125218e-03
1.066725e+00,3.351062e-01,-3.873741e-03
1.078270e+00,3.380879e-01,-2.118977e-03
1.089941e+00,3.400876e-01,-1.061373e-02
1.101738e+00,3.429576e-01,-6.948867e-03
1.113663e+00,3.459986e-01,-2.768418e-03
1.125717e+00,3.477325e-01,-9.178740e-03
1.137901e+00,3.492707e-01,-2.678160e-03
1.150218e+00,3.538364e-01,-4.795062e-03
1.162667e+00,3.554495e-01,-7.940619e-03
1.175251e+00,3.596755e-01,-2.922334e-03
1.187972e+00,3.627950e-01,-1.013208e-02
1.200830e+00,3.652312e-01,-4.137066e-03
1.213827e+00,3.664334e-01,-5.485419e-03
1.226965e+00,3.714201e-01,-1.227470e-02
1.240246e+00,3.725257e-01,-5.836464e-03
1.253670e+00,3.769291e-01,-6.368689e-03
1.267239e+00,3.782271e-01,-3.680906e-03
1.280955e+00,3.847320e-01,-7.324432e-03
1.294819e+00,3.864781e-01,-4.855855e-03
1.308834e+00,3.907908e-01,-1.012619e-02
1.323000e+00,3.948646e-01,-8.268932e-03
1.337320e+00,4.004436e-01,-1.253594e-02
1.351795e+00,4.045627e-01,-1.172646e-02
1.366426e+00,4.051875e-01,-6.376741e-03
1.381216e+00,4.127490e-01,-1.114147e-02
1.396166e+00,4.146290e-01,-1.190634e-02
1.411277e+00,4.191204e-01,-6.062892e-03
1.426552e+00,4.265210e-01,-1.418942e-02
1.441993e+00,4.321687e-01,-1.598050e-02
1.457600e+00,4.354250e-01,-7.610231e-03
1.473377e+00,4.420454e-01,-1.582889e-02
1.489324e+00,4.460357e-01,-1.257007e-02
1.505444e+00,4.525308e-01,-1.142091e-02
1.521738e+00,4.555309e-01,-8.923104e-03
1.538209e+00,4.657510e-01,-1.317140e-02
1.554858e+00,4.733152e-01,-1.463576e-02
1.571687e+00,4.743536e-01,-9.823864e-03
1.588699e+00,4.841283e-01,-9.857538e-03
1.605894e+00,4.949806e-01,-1.373586e-02
1.623276e+00,5.072699e-01,-1.864428e-02
1.640846e+00,5.144852e-01,-2.077539e-02
