Frequency(Hz),Real,Imaginary
1.000000,0.172591,-0.001610
1.016307,0.173465,-0.002948
1.032879,0.174699,-0.002641
1.049722,0.176071,-0.001766
1.066840,0.176763,-0.002231
1.084237,0.176996,-0.003613
1.101917,0.177678,-0.004880
1.119886,0.178919,-0.005996
1.138148,0.179834,-0.007523
1.156707,0.179951,-0.009996
1.175569,0.180007,-0.012348
1.194739,0.179713,-0.013826
1.214221,0.179413,-0.015332
1.234021,0.178435,-0.019085
1.254144,0.177442,-0.022900
1.274595,0.174660,-0.022651
1.295380,0.171524,-0.021679
1.316504,0.169654,-0.015393
1.337971,0.168315,-0.006750
1.359789,0.172494,0.004422
1.381963,0.181243,0.017717
1.404499,0.190633,0.028788
1.427401,0.200916,0.036411
1.450678,0.211823,0.042935
1.474334,0.224249,0.045958
1.498375,0.236086,0.048670
1.522809,0.241343,0.048338
1.547641,0.246684,0.048000
1.572878,0.255760,0.045747
1.598527,0.265154,0.043367
1.624593,0.271627,0.041734
1.651085,0.277463,0.040263
1.678009,0.283381,0.039118
1.705372,0.289388,0.038138
1.733181,0.292796,0.037052
1.761444,0.293621,0.035858
1.790167,0.295826,0.034201
1.819359,0.300537,0.031712
1.849027,0.305316,0.029794
1.879179,0.310135,0.030184
1.909822,0.315256,0.030455
1.940965,0.324038,0.028694
1.972616,0.332963,0.026904
2.004783,0.349364,0.025992
2.037475,0.366765,0.025155
2.070699,0.390340,0.020225
2.104466,0.416173,0.013917
2.138783,0.454040,0.004621
2.173660,0.499986,-0.006680
2.209105,0.573252,-0.026631
2.245129,0.678992,-0.056872
2.281739,0.824113,-0.125932
2.318947,1.055360,-0.281360
2.356762,1.219504,-0.626986
2.395193,1.018031,-1.953390
2.434251,0.802025,-3.267268
2.473946,-0.276171,-1.993533
2.514288,-1.371940,-0.699038
2.555288,-1.269246,-0.333984
2.596956,-0.971187,-0.114351
2.639304,-0.751686,0.025719
2.682343,-0.562272,0.134517
2.726083,-0.447890,0.169568
2.770537,-0.392351,0.146499
2.815715,-0.350678,0.130331
2.861631,-0.329295,0.124231
2.908295,-0.311660,0.116919
2.955719,-0.305144,0.106393
3.003918,-0.299047,0.096932
3.052902,-0.296879,0.096785
3.102685,-0.294675,0.096636
3.153280,-0.296688,0.090442
3.204700,-0.298880,0.083938
3.256958,-0.304370,0.085174
3.310069,-0.310685,0.088197
3.364045,-0.321822,0.097061
3.418902,-0.335506,0.108971
3.474653,-0.348869,0.117706
3.531314,-0.361941,0.123429
3.588898,-0.380939,0.135031
3.647421,-0.410089,0.156789
3.706899,-0.443502,0.182419
3.767347,-0.491025,0.221060
3.828780,-0.540501,0.261876
3.891215,-0.606539,0.323977
3.954668,-0.673655,0.387091
4.019156,-0.729920,0.429031
4.084696,-0.786066,0.469729
4.151304,-0.836930,0.485598
4.218998,-0.886771,0.494106
4.287796,-1.232419,0.505338
4.357717,-1.764564,0.518339
4.428777,-1.879966,1.259040
4.500996,-1.518297,2.830872
4.574393,-0.858167,3.724859
4.648987,0.431033,3.146667
4.724797,1.573727,2.592688
4.801843,1.930612,2.191210
4.880146,2.280965,1.785032
4.959725,2.132092,1.447878
5.040602,1.980790,1.105225
5.122798,1.888654,0.869005
5.206335,1.803924,0.645122
5.291233,1.722871,0.528309
5.377516,1.642430,0.451892
5.465206,1.574802,0.386711
5.554326,1.516565,0.329740
5.644899,1.467318,0.275085
5.736949,1.430754,0.223941
5.830501,1.399415,0.178913
5.925577,1.382900,0.151459
6.022204,1.367654,0.124478
6.120407,1.362787,0.103428
6.220211,1.357840,0.082035
6.321643,1.365506,0.053017
6.424728,1.373586,0.023360
6.529495,1.389807,0.000768
6.635970,1.407964,-0.020617
6.744182,1.440075,-0.035415
6.854157,1.479217,-0.047149
6.965927,1.524027,-0.094420
7.079518,1.574071,-0.174111
7.194963,1.634260,-0.243991
7.312289,1.710766,-0.296742
7.431530,1.797173,-0.368029
7.552714,1.914073,-0.499902
7.675874,2.031525,-0.642857
7.801043,2.135457,-0.889975
7.928253,2.241083,-1.141123
8.057537,2.353161,-1.503732
8.188930,2.467415,-1.880180
8.322465,2.205779,-2.546954
8.458178,1.833924,-3.304314
8.596103,1.084621,-3.615479
8.736278,0.105925,-3.663587
8.878738,-0.638766,-3.397479
9.023522,-1.126355,-2.787717
9.170667,-1.457692,-2.231498
9.320210,-1.464343,-1.793834
9.472194,-1.452134,-1.383296
9.626655,-1.355232,-1.118722
9.783634,-1.256450,-0.855040
9.943173,-1.147773,-0.731284
10.105320,-1.037318,-0.605506
10.270100,-0.941365,-0.515161
10.437570,-0.845965,-0.428217
10.607780,-0.772313,-0.370146
10.780750,-0.705884,-0.322075
10.956550,-0.648432,-0.284545
11.135220,-0.597189,-0.254446
11.316800,-0.551068,-0.226072
11.501340,-0.511921,-0.200109
11.688890,-0.474014,-0.178259
11.879500,-0.440174,-0.167368
12.073210,-0.407853,-0.155959
12.270090,-0.387997,-0.142230
12.470180,-0.367818,-0.128277
12.673520,-0.345797,-0.118855
12.880190,-0.323399,-0.109332
13.090220,-0.306901,-0.102949
13.303680,-0.291341,-0.097096
13.520620,-0.275355,-0.091902
13.741100,-0.259030,-0.086963
13.965170,-0.245200,-0.081928
14.192900,-0.233509,-0.076797
14.424340,-0.222058,-0.072464
14.659560,-0.211095,-0.069444
14.898610,-0.200235,-0.066295
15.141550,-0.190087,-0.062845
15.388460,-0.179902,-0.059363
15.639400,-0.170823,-0.056075
15.894430,-0.161597,-0.052733
16.153620,-0.153994,-0.050302
16.417030,-0.146375,-0.047891
16.684740,-0.141177,-0.045889
16.956810,-0.136563,-0.043973
17.233320,-0.131581,-0.041070
17.514340,-0.126355,-0.037588
17.799950,-0.121022,-0.035571
18.090210,-0.115580,-0.035092
18.385200,-0.110655,-0.034063
18.685000,-0.106808,-0.031980
18.989690,-0.102877,-0.030464
19.299360,-0.098796,-0.031418
19.614070,-0.094691,-0.032217
19.933910,-0.091413,-0.029496
20.258970,-0.088081,-0.026731
20.589320,-0.085527,-0.025402
20.925070,-0.083028,-0.024224
21.266290,-0.079612,-0.024128
21.613080,-0.075842,-0.024405
21.965520,-0.071706,-0.023502
22.323700,-0.067296,-0.021782
22.687730,-0.063971,-0.020281
23.057700,-0.062027,-0.019063
23.433690,-0.060385,-0.018474
23.815820,-0.059502,-0.019412
24.204180,-0.058633,-0.019894
24.598870,-0.057911,-0.017683
25.000000,-0.057177,-0.015435
