Input File: f:\srs003.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 25 Hz
Stop  Freq.: 250 mHz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  30.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:    5

    X[Hz]         UP[deg]     
  2.500000e-01   8.344488e+00 
  2.619039e-01   7.151397e+00 
  2.743747e-01   1.246191e+01 
  2.874393e-01   1.046294e+01 
  3.011259e-01   5.809258e+00 
  3.154642e-01   4.960194e+00 
  3.304853e-01   2.739836e+00 
  3.462216e-01   5.400736e+00 
  3.627072e-01   1.039963e+01 
  3.799778e-01   1.377839e+00 
  3.980707e-01   7.719428e+00 
  4.170251e-01   6.536624e+00 
  4.368821e-01   5.323651e+00 
  4.576846e-01   6.852055e-01 
  4.794776e-01   8.266746e+00 
  5.023082e-01   8.011252e+00 
  5.262260e-01   2.617332e+00 
  5.512827e-01   6.500461e-01 
  5.775324e-01   3.657804e+00 
  6.050321e-01   9.221765e+00 
  6.338411e-01  -6.030490e+00 
  6.640220e-01   1.024019e+01 
  6.956398e-01   5.169089e+00 
  7.287633e-01   3.546098e-01 
  7.634639e-01   5.944826e+00 
  7.998168e-01   1.619330e+01 
  8.379006e-01   9.060401e+00 
  8.777980e-01   1.456674e+01 
  9.195949e-01   6.262277e+00 
  9.633821e-01  -1.678151e+00 
  1.009254e+00   5.914933e-01 
  1.057311e+00  -3.126761e+00 
  1.107655e+00   3.563456e+01 
  1.160397e+00   6.547379e+01 
  1.215650e+00   7.802367e+01 
  1.273535e+00  -6.396063e+01 
  1.334175e+00   1.003059e+02 
  1.397703e+00   1.318904e+02 
  1.464255e+00   1.623498e+02 
  1.533977e+00   1.546501e+02 
  1.607018e+00   1.621581e+02 
  1.683538e+00   1.807788e+02 
  1.763701e+00   1.787935e+02 
  1.847680e+00   1.682107e+02 
  1.935659e+00   1.727350e+02 
  2.027827e+00   1.754058e+02 
  2.124384e+00   1.700127e+02 
  2.225538e+00   1.873000e+02 
  2.331508e+00   1.859472e+02 
  2.442525e+00   1.422267e+02 
  2.558828e+00   5.237320e+01 
  2.680668e+00   2.485586e+01 
  2.808310e+00   1.205524e+01 
  2.942030e+00   1.127656e+01 
  3.082117e+00   6.197271e+00 
  3.228874e+00   1.649454e+02 
  3.382619e+00   1.892624e+02 
  3.543685e+00   1.827326e+02 
  3.712421e+00   1.699750e+02 
  3.889190e+00   1.978199e+02 
  4.074377e+00   2.286202e+02 
  4.268382e+00   1.956368e+02 
  4.471624e+00   1.506765e+02 
  4.684544e+00   1.042368e+02 
  4.907602e+00   3.938951e+01 
  5.141281e+00   2.265203e+00 
  5.386087e+00   1.334161e+01 
  5.642550e+00  -1.211508e+00 
  5.911223e+00   1.785749e+00 
  6.192691e+00  -3.604340e+00 
  6.487561e+00  -4.002532e-02 
  6.796471e+00  -2.948499e+00 
  7.120090e+00  -5.219763e+00 
  7.459118e+00  -1.146560e+01 
  7.814290e+00  -1.401948e+01 
  8.186373e+00  -1.658687e+01 
  8.576173e+00  -5.555182e+01 
  8.984534e+00  -1.027647e+02 
  9.412339e+00  -1.299102e+02 
  9.860516e+00  -1.384233e+02 
  1.033003e+01  -1.484980e+02 
  1.082190e+01  -1.518015e+02 
  1.133720e+01  -1.598755e+02 
  1.187703e+01  -1.615128e+02 
  1.244256e+01  -1.617793e+02 
  1.303502e+01  -1.625667e+02 
  1.365569e+01  -1.649729e+02 
  1.430592e+01  -1.650745e+02 
  1.498711e+01  -1.674998e+02 
  1.570073e+01  -1.654633e+02 
  1.644833e+01  -1.662041e+02 
  1.723153e+01  -1.650558e+02 
  1.805202e+01  -1.683000e+02 
  1.891158e+01  -1.681297e+02 
  1.981207e+01  -1.643191e+02 
  2.075544e+01  -1.642105e+02 
  2.174372e+01  -1.669074e+02 
  2.277907e+01  -1.636572e+02 
  2.386371e+01  -1.616733e+02 
  2.500000e+01  -1.726653e+02 
