Input File: f:\srs004.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 1 Hz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:   8.0 mV
Ref. Upper Limit:   6.0 dB
Ref. Lower Limit:  -6.0 dB
Max Source:   8.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   30

    X[Hz]         Mag[dB]     
  1.000000e+00  -1.929561e+01 
  1.016307e+00  -1.916311e+01 
  1.032879e+00  -1.831367e+01 
  1.049722e+00  -1.869738e+01 
  1.066840e+00  -2.003398e+01 
  1.084237e+00  -1.878418e+01 
  1.101917e+00  -1.942068e+01 
  1.119886e+00  -1.975693e+01 
  1.138148e+00  -1.599773e+01 
  1.156707e+00  -1.467601e+01 
  1.175569e+00  -2.156345e+01 
  1.194739e+00  -1.880162e+01 
  1.214221e+00  -1.807635e+01 
  1.234021e+00  -1.971340e+01 
  1.254144e+00  -1.904472e+01 
  1.274595e+00  -1.925292e+01 
  1.295380e+00  -1.918362e+01 
  1.316504e+00  -1.896947e+01 
  1.337971e+00  -2.028015e+01 
  1.359789e+00  -1.977372e+01 
  1.381963e+00  -1.866641e+01 
  1.404499e+00  -1.893456e+01 
  1.427401e+00  -1.991277e+01 
  1.450678e+00  -1.937978e+01 
  1.474334e+00  -2.015588e+01 
  1.498375e+00  -2.014050e+01 
  1.522809e+00  -2.023547e+01 
  1.547641e+00  -2.019248e+01 
  1.572878e+00  -1.956376e+01 
  1.598527e+00  -1.897707e+01 
  1.624593e+00  -2.082382e+01 
  1.651085e+00  -2.088398e+01 
  1.678009e+00  -2.041106e+01 
  1.705372e+00  -1.912699e+01 
  1.733181e+00  -1.987546e+01 
  1.761444e+00  -1.879349e+01 
  1.790167e+00  -1.879706e+01 
  1.819359e+00  -1.909847e+01 
  1.849027e+00  -1.879160e+01 
  1.879179e+00  -1.848232e+01 
  1.909822e+00  -1.812372e+01 
  1.940965e+00  -1.753083e+01 
  1.972616e+00  -1.858547e+01 
  2.004783e+00  -1.878326e+01 
  2.037475e+00  -1.844680e+01 
  2.070699e+00  -1.620493e+01 
  2.104466e+00  -1.609988e+01 
