Input File: f:\srs005.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 1 Hz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:   8.0 mV
Ref. Upper Limit:   6.0 dB
Ref. Lower Limit:  -6.0 dB
Max Source:   8.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   30

    X[Hz]         UP[deg]     
  1.000000e+00   2.178893e+00 
  1.016307e+00   9.323545e+00 
  1.032879e+00   1.320433e+00 
  1.049722e+00  -4.707503e-01 
  1.066840e+00   3.688587e+00 
  1.084237e+00   4.884324e+00 
  1.101917e+00   8.141646e+00 
  1.119886e+00  -9.460991e-01 
  1.138148e+00   1.304376e+01 
  1.156707e+00   1.999687e-01 
  1.175569e+00   4.563682e+00 
  1.194739e+00  -3.411713e+00 
  1.214221e+00   7.276962e+00 
  1.234021e+00   6.484791e+00 
  1.254144e+00   4.445890e-01 
  1.274595e+00   1.024370e+00 
  1.295380e+00  -4.440660e-01 
  1.316504e+00  -2.987181e-01 
  1.337971e+00  -1.278777e+00 
  1.359789e+00  -3.581798e+00 
  1.381963e+00   3.850537e+00 
  1.404499e+00   5.777050e-01 
  1.427401e+00  -2.439413e+00 
  1.450678e+00   6.243680e-01 
  1.474334e+00  -6.662986e+00 
  1.498375e+00  -1.681757e+00 
  1.522809e+00  -4.930830e+00 
  1.547641e+00  -2.532037e-01 
  1.572878e+00   3.223648e+00 
  1.598527e+00   8.578062e+00 
  1.624593e+00  -1.195870e+00 
  1.651085e+00  -2.287983e+00 
  1.678009e+00   1.555961e+00 
  1.705372e+00  -6.599344e-01 
  1.733181e+00  -3.810529e+00 
  1.761444e+00  -1.342943e+00 
  1.790167e+00  -2.611759e+00 
  1.819359e+00  -8.170918e+00 
  1.849027e+00   1.284617e+00 
  1.879179e+00   3.406095e-01 
  1.909822e+00  -3.356426e+00 
  1.940965e+00   6.449510e+00 
  1.972616e+00  -2.674920e-01 
  2.004783e+00   6.551873e+00 
  2.037475e+00  -1.798832e-01 
  2.070699e+00  -2.440077e+00 
  2.104466e+00   7.874869e+00 
  2.138783e+00  -5.796318e+00 
  2.173660e+00  -7.299939e+00 
