Input File: f:\srs011.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 1 Hz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    5
Integration Time:   15.625 ms
Integration Cycles:   40

    X[Hz]         Mag[dB]     
  1.000000e+00  -1.712161e+01 
  1.016307e+00  -1.676886e+01 
  1.032879e+00  -1.743503e+01 
  1.049722e+00  -1.729968e+01 
  1.066840e+00  -1.698694e+01 
  1.084237e+00  -1.704248e+01 
  1.101917e+00  -1.742367e+01 
  1.119886e+00  -1.675345e+01 
  1.138148e+00  -1.867985e+01 
  1.156707e+00  -1.634132e+01 
  1.175569e+00  -1.836620e+01 
  1.194739e+00  -1.735319e+01 
  1.214221e+00  -1.720338e+01 
  1.234021e+00  -1.651422e+01 
  1.254144e+00  -1.734522e+01 
  1.274595e+00  -1.718411e+01 
  1.295380e+00  -1.771245e+01 
  1.316504e+00  -1.761043e+01 
  1.337971e+00  -1.754656e+01 
  1.359789e+00  -1.712122e+01 
  1.381963e+00  -1.712798e+01 
  1.404499e+00  -1.696128e+01 
  1.427401e+00  -1.746279e+01 
  1.450678e+00  -1.712178e+01 
  1.474334e+00  -1.746881e+01 
  1.498375e+00  -1.724337e+01 
  1.522809e+00  -1.698452e+01 
  1.547641e+00  -1.714697e+01 
  1.572878e+00  -1.710812e+01 
  1.598527e+00  -1.716450e+01 
  1.624593e+00  -1.695710e+01 
  1.651085e+00  -1.720330e+01 
  1.678009e+00  -1.662937e+01 
  1.705372e+00  -1.669361e+01 
  1.733181e+00  -1.627851e+01 
  1.761444e+00  -1.628233e+01 
  1.790167e+00  -1.595022e+01 
  1.819359e+00  -1.611717e+01 
  1.849027e+00  -1.548751e+01 
  1.879179e+00  -1.541671e+01 
  1.909822e+00  -1.517408e+01 
  1.940965e+00  -1.514766e+01 
  1.972616e+00  -1.454139e+01 
  2.004783e+00  -1.378212e+01 
  2.037475e+00  -1.337620e+01 
  2.070699e+00  -1.215603e+01 
  2.104466e+00  -1.180184e+01 
