Input File: f:\srs010.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 25 Hz
Stop  Freq.: 800 mHz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   40

    X[Hz]         Mag[dB]     
  8.000000e-01  -1.553065e+01 
  8.283035e-01  -1.556566e+01 
  8.576083e-01  -1.545684e+01 
  8.879499e-01  -1.537572e+01 
  9.193650e-01  -1.538574e+01 
  9.518915e-01  -1.522509e+01 
  9.855688e-01  -1.529860e+01 
  1.020438e+00  -1.520312e+01 
  1.056540e+00  -1.505865e+01 
  1.093920e+00  -1.503174e+01 
  1.132622e+00  -1.489808e+01 
  1.172693e+00  -1.487242e+01 
  1.214182e+00  -1.489128e+01 
  1.257139e+00  -1.495068e+01 
  1.301616e+00  -1.529355e+01 
  1.347667e+00  -1.550754e+01 
  1.395346e+00  -1.450338e+01 
  1.444712e+00  -1.343618e+01 
  1.495825e+00  -1.237695e+01 
  1.548747e+00  -1.198781e+01 
  1.603540e+00  -1.135939e+01 
  1.660273e+00  -1.098578e+01 
  1.719012e+00  -1.060956e+01 
  1.779829e+00  -1.056707e+01 
  1.842799e+00  -1.029218e+01 
  1.907996e+00  -1.000020e+01 
  1.975499e+00  -9.503111e+00 
  2.045391e+00  -8.593411e+00 
  2.117756e+00  -7.401751e+00 
  2.192681e+00  -5.593503e+00 
  2.270256e+00  -2.420685e+00 
  2.350576e+00   2.401264e+00 
  2.433738e+00   1.058755e+01 
  2.519842e+00   4.133279e+00 
  2.608993e+00  -1.045972e+00 
  2.701297e+00  -5.807310e+00 
  2.796867e+00  -8.331164e+00 
  2.895818e+00  -9.487346e+00 
  2.998271e+00  -1.004463e+01 
  3.104347e+00  -1.017151e+01 
  3.214177e+00  -1.015848e+01 
  3.327893e+00  -9.754933e+00 
  3.445631e+00  -8.852041e+00 
  3.567535e+00  -8.145365e+00 
  3.693752e+00  -6.617144e+00 
  3.824435e+00  -4.515754e+00 
  3.959741e+00  -2.112378e+00 
  4.099834e+00  -6.146982e-01 
  4.244884e+00   2.852845e-01 
  4.395064e+00   6.506473e+00 
  4.550559e+00   1.227838e+01 
  4.711555e+00   9.718285e+00 
  4.878246e+00   9.260423e+00 
  5.050836e+00   6.968464e+00 
  5.229531e+00   5.452636e+00 
  5.414548e+00   4.410661e+00 
  5.606112e+00   3.591650e+00 
  5.804452e+00   3.022891e+00 
  6.009809e+00   2.760757e+00 
  6.222433e+00   2.671913e+00 
  6.442578e+00   2.766722e+00 
  6.670512e+00   3.009743e+00 
  6.906511e+00   3.514750e+00 
  7.150858e+00   4.196053e+00 
  7.403851e+00   5.117169e+00 
  7.665794e+00   6.513975e+00 
  7.937006e+00   8.059753e+00 
  8.217812e+00   1.002848e+01 
  8.508552e+00   1.196767e+01 
  8.809579e+00   1.138983e+01 
  9.121256e+00   8.901052e+00 
  9.443960e+00   6.242915e+00 
  9.778081e+00   3.667341e+00 
  1.012402e+01   1.458316e+00 
  1.048220e+01  -7.709222e-01 
  1.085306e+01  -2.588258e+00 
  1.123703e+01  -4.214512e+00 
  1.163459e+01  -5.737919e+00 
  1.204622e+01  -7.133507e+00 
  1.247240e+01  -8.194715e+00 
  1.291367e+01  -9.435849e+00 
  1.337054e+01  -1.040298e+01 
  1.384359e+01  -1.152480e+01 
  1.433336e+01  -1.246935e+01 
  1.484047e+01  -1.341246e+01 
  1.536551e+01  -1.441005e+01 
  1.590913e+01  -1.542080e+01 
  1.647199e+01  -1.634357e+01 
  1.705476e+01  -1.697409e+01 
  1.765814e+01  -1.780441e+01 
  1.828288e+01  -1.861825e+01 
  1.892971e+01  -1.933158e+01 
  1.959943e+01  -1.998234e+01 
  2.029285e+01  -2.075904e+01 
  2.101080e+01  -2.133101e+01 
  2.175414e+01  -2.213049e+01 
  2.252379e+01  -2.333780e+01 
  2.332067e+01  -2.396963e+01 
  2.414574e+01  -2.413491e+01 
  2.500000e+01  -2.455007e+01 
