Input File: f:\srs006.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 1 Hz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   40

    X[Hz]         UP[deg]     
  1.000000e+00  -1.098655e+00 
  1.016307e+00  -4.175244e+00 
  1.032879e+00   2.877718e-01 
  1.049722e+00   1.230669e+00 
  1.066840e+00  -3.279979e+00 
  1.084237e+00  -3.753345e+00 
  1.101917e+00  -1.527324e+00 
  1.119886e+00   2.009000e+00 
  1.138148e+00  -3.266223e+00 
  1.156707e+00  -5.706295e+00 
  1.175569e+00  -2.692047e+00 
  1.194739e+00  -2.669557e+00 
  1.214221e+00  -1.201695e+00 
  1.234021e+00   6.909000e-01 
  1.254144e+00   4.082133e-01 
  1.274595e+00  -1.353987e+00 
  1.295380e+00  -2.507617e+00 
  1.316504e+00  -2.994684e+00 
  1.337971e+00  -3.660711e+00 
  1.359789e+00  -1.858969e+00 
  1.381963e+00   1.610916e+00 
  1.404499e+00   1.974393e+00 
  1.427401e+00  -2.653878e+00 
  1.450678e+00  -6.803633e-01 
  1.474334e+00  -3.085178e+00 
  1.498375e+00  -3.968937e+00 
  1.522809e+00  -1.750641e+00 
  1.547641e+00  -2.944787e+00 
  1.572878e+00  -2.952389e-01 
  1.598527e+00   5.473168e-02 
  1.624593e+00  -5.205675e+00 
  1.651085e+00  -5.665007e+00 
  1.678009e+00  -3.169497e+00 
  1.705372e+00  -1.452911e+00 
  1.733181e+00  -3.921268e+00 
  1.761444e+00  -3.548461e+00 
  1.790167e+00   7.379734e-01 
  1.819359e+00  -4.724569e+00 
  1.849027e+00  -3.632742e+00 
  1.879179e+00  -3.216083e+00 
  1.909822e+00  -2.662079e+00 
  1.940965e+00  -2.745266e+00 
  1.972616e+00  -3.526845e+00 
  2.004783e+00  -4.286272e+00 
  2.037475e+00  -3.478220e+00 
  2.070699e+00  -3.784050e+00 
  2.104466e+00  -2.455831e+00 
  2.138783e+00  -3.708627e+00 
