Input File: f:\srs007.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 300
Start Freq.: 25 Hz
Stop  Freq.: 1 Hz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  30.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   50

    X[Hz]         Mag[dB]     
  1.000000e+00  -9.783988e+00 
  1.010824e+00  -9.723791e+00 
  1.021764e+00  -9.678023e+00 
  1.032824e+00  -9.657880e+00 
  1.044003e+00  -9.597567e+00 
  1.055302e+00  -9.512218e+00 
  1.066725e+00  -9.495770e+00 
  1.078270e+00  -9.419237e+00 
  1.089941e+00  -9.363955e+00 
  1.101738e+00  -9.293410e+00 
  1.113663e+00  -9.218234e+00 
  1.125717e+00  -9.172069e+00 
  1.137901e+00  -9.136501e+00 
  1.150218e+00  -9.023152e+00 
  1.162667e+00  -8.982275e+00 
  1.175251e+00  -8.881497e+00 
  1.187972e+00  -8.803388e+00 
  1.200830e+00  -8.748085e+00 
  1.213827e+00  -8.719127e+00 
  1.226965e+00  -8.597952e+00 
  1.240246e+00  -8.575809e+00 
  1.253670e+00  -8.473568e+00 
  1.267239e+00  -8.444535e+00 
  1.280955e+00  -8.295260e+00 
  1.294819e+00  -8.256817e+00 
  1.308834e+00  -8.158198e+00 
  1.323000e+00  -8.069131e+00 
  1.337320e+00  -7.944919e+00 
  1.351795e+00  -7.856637e+00 
  1.366426e+00  -7.845804e+00 
  1.381216e+00  -7.683116e+00 
  1.396166e+00  -7.643227e+00 
  1.411277e+00  -7.552316e+00 
  1.426552e+00  -7.396388e+00 
  1.441993e+00  -7.281000e+00 
  1.457600e+00  -7.220407e+00 
  1.473377e+00  -7.085097e+00 
  1.489324e+00  -7.009159e+00 
  1.505444e+00  -6.884272e+00 
  1.521738e+00  -6.827978e+00 
  1.538209e+00  -6.633453e+00 
  1.554858e+00  -6.492841e+00 
  1.571687e+00  -6.476093e+00 
  1.588699e+00  -6.298990e+00 
  1.605894e+00  -6.104894e+00 
  1.623276e+00  -5.889356e+00 
  1.640846e+00  -5.765466e+00 
